"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.145726040E-1,-3.590880632E-1,1.033477783E-1,-2.822761536E-1,4.682999331E-1
1.195774870E-1,-3.639405966E-1,8.885431290E-2,-2.812299728E-1,4.684422530E-1
1.245823700E-1,-3.623154163E-1,7.388114929E-2,-2.906808853E-1,4.703469594E-1
1.296482880E-1,-3.543409705E-1,2.181148529E-2,-2.440261841E-1,4.307923430E-1
1.347142060E-1,-3.446332812E-1,5.038881302E-2,-1.846656799E-1,3.942239774E-1
1.397496060E-1,-2.991548181E-1,6.901073456E-2,-1.126937866E-1,3.270412454E-1
1.447850070E-1,-2.674010992E-1,4.832077026E-2,-6.716537476E-2,2.799096859E-1
1.498509250E-1,-1.865698695E-1,5.855655670E-2,-1.690483093E-2,1.962726671E-1
1.548558070E-1,-1.553549767E-1,1.100506783E-1,5.647659302E-2,1.985848084E-1
1.598912080E-1,-1.121428609E-1,1.138081551E-1,1.317062378E-1,2.070624314E-1
1.649571260E-1,-8.755511045E-2,6.234025955E-2,2.204828262E-1,2.452853073E-1
1.699925260E-1,-6.224828959E-2,5.436658859E-2,3.179607391E-1,3.285264177E-1
1.750279270E-1,-9.407454729E-2,5.579948425E-2,3.548717499E-1,3.713456096E-1
1.800633270E-1,-1.301100254E-1,1.736450195E-2,4.260768890E-1,4.458381545E-1
1.851292450E-1,-1.913440824E-1,6.747007370E-2,4.982976913E-1,5.380198490E-1
1.901951630E-1,-2.561582923E-1,4.537487030E-2,4.581737518E-1,5.268767754E-1
1.952305630E-1,-2.638311386E-1,-3.289556503E-2,4.088478088E-1,4.876940831E-1
2.002659640E-1,-2.462431192E-1,-6.569528580E-2,3.015489578E-1,3.948206154E-1
2.053013640E-1,-2.387815714E-1,-3.794956207E-2,1.515522003E-1,2.853504468E-1
2.103672820E-1,-1.945566535E-1,-3.713989258E-2,6.437015533E-2,2.082670880E-1
2.154026820E-1,-1.283388734E-1,-2.731704712E-2,-2.722454071E-2,1.340084441E-1
2.204686000E-1,-6.126552820E-2,-1.084899902E-2,-2.119874954E-1,2.209295452E-1
2.255040010E-1,-2.821016312E-2,3.357458115E-2,-2.874584198E-1,2.907841277E-1
2.305699190E-1,1.592212915E-2,7.036876678E-2,-3.171653748E-1,3.252678165E-1
2.356053190E-1,6.157183647E-2,8.849000931E-2,-3.165426254E-1,3.343961820E-1
2.406712370E-1,7.349616289E-2,1.024222374E-1,-3.283309937E-1,3.517005005E-1
2.457066380E-1,2.655673027E-2,1.076474190E-1,-3.008508682E-1,3.206313641E-1
2.507420380E-1,-3.016591072E-3,1.300716400E-1,-2.115125656E-1,2.483249822E-1
2.558079560E-1,-3.710031509E-2,1.458196640E-1,-1.294107437E-1,1.984614531E-1
2.608433560E-1,-8.045905828E-2,1.080093384E-1,-4.479980469E-2,1.419390705E-1
2.658787570E-1,-1.047318578E-1,5.963468552E-2,7.300662994E-2,1.409078627E-1
2.709446750E-1,-1.759353876E-1,3.595209122E-2,1.507740021E-1,2.344751867E-1
2.759800750E-1,-1.994672418E-1,2.673768997E-2,2.341461182E-1,3.087498814E-1
2.810154750E-1,-2.350749373E-1,-3.171491623E-2,3.207969666E-1,3.989696177E-1
2.860813930E-1,-2.353569269E-1,-3.998756409E-2,3.708734512E-1,4.410657606E-1
2.911167940E-1,-2.337257266E-1,-6.273365021E-2,3.852510452E-1,4.549522986E-1
2.961521940E-1,-2.346283197E-1,-1.069707870E-1,3.694438934E-1,4.505352240E-1
3.012181120E-1,-2.569161057E-1,-8.987760544E-2,3.661699295E-1,4.562502456E-1
3.062535130E-1,-2.269331813E-1,-1.348066330E-1,3.492994308E-1,4.378145606E-1
3.112889130E-1,-2.254999876E-1,-1.017818451E-1,2.766456604E-1,3.711369152E-1
3.163243130E-1,-2.451671362E-1,-5.544853210E-2,1.607646942E-1,2.983735097E-1
3.213291960E-1,-2.996047735E-1,-3.111457825E-2,1.598663330E-1,3.410108235E-1
3.264256320E-1,-3.815012574E-1,2.361440659E-2,1.047620773E-1,3.963280743E-1
3.314915500E-1,-4.009202719E-1,7.060289383E-2,1.328659058E-1,4.282232851E-1
3.365574680E-1,-3.919833899E-1,1.286630630E-1,1.487617493E-1,4.385603947E-1
