"Time (s)","Latitude","Longitude","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.909852080E-1,6.506668948E1,2.549084142E1,1.879614478E1,3.628082275E1,0.000000000E0,NaN,6.033582327E-6,5.360000134E0,6.000000000E0,1.200000000E1
1.579060572E0,6.506668953E1,2.549084147E1,1.880591039E1,3.629058838E1,0.000000000E0,NaN,9.057952377E-6,5.360000134E0,6.000000000E0,1.600000000E1
2.580034218E0,6.506668954E1,2.549084153E1,1.879870825E1,3.628338623E1,0.000000000E0,NaN,1.046422259E-5,6.432000160E0,6.000000000E0,1.500000000E1
3.580062759E0,6.506668954E1,2.549084156E1,1.879327612E1,3.627795410E1,0.000000000E0,NaN,1.140173617E-5,7.504000187E0,6.000000000E0,1.100000000E1
4.576109165E0,6.506668954E1,2.549084158E1,1.880664282E1,3.629132080E1,0.000000000E0,NaN,1.251368632E-5,1.179199982E1,6.000000000E0,1.000000000E1
5.581857602E0,6.506668955E1,2.549084158E1,1.880188208E1,3.628656006E1,0.000000000E0,NaN,1.251368632E-5,1.286400032E1,6.000000000E0,1.000000000E1
6.580776248E0,6.506668955E1,2.549084158E1,1.880560522E1,3.629028320E1,0.000000000E0,NaN,1.298244295E-5,1.286400032E1,6.000000000E0,9.000000000E0
7.578277601E0,6.506668955E1,2.549084159E1,1.880688696E1,3.629156494E1,0.000000000E0,NaN,1.409439310E-5,1.286400032E1,6.000000000E0,9.000000000E0
8.577079111E0,6.506668954E1,2.549084159E1,1.880102759E1,3.628570557E1,0.000000000E0,NaN,1.456314989E-5,1.286400032E1,6.000000000E0,9.000000000E0
9.578847653E0,6.506668954E1,2.549084160E1,1.884179907E1,3.632647705E1,0.000000000E0,NaN,1.456314989E-5,1.286400032E1,6.000000000E0,9.000000000E0
1.057957713E1,6.506668954E1,2.549084160E1,1.888348609E1,3.636816406E1,0.000000000E0,NaN,1.456314989E-5,1.179199982E1,6.000000000E0,1.200000000E1
1.157979182E1,6.506668954E1,2.549084160E1,1.885418921E1,3.633886719E1,0.000000000E0,NaN,1.503190668E-5,1.179199982E1,6.000000000E0,1.400000000E1
1.257746411E1,6.506668954E1,2.549084159E1,1.883825903E1,3.632293701E1,0.000000000E0,NaN,1.550066331E-5,1.179199982E1,6.000000000E0,1.400000000E1
1.357737005E1,6.506668954E1,2.549084158E1,1.882470923E1,3.630938721E1,0.000000000E0,NaN,1.550066331E-5,1.179199982E1,6.000000000E0,1.500000000E1
1.458105708E1,6.506668954E1,2.549084158E1,1.881775122E1,3.630242920E1,0.000000000E0,NaN,1.550066331E-5,1.179199982E1,6.000000000E0,1.500000000E1
1.557852015E1,6.506668954E1,2.549084158E1,1.883355933E1,3.631823730E1,0.000000000E0,NaN,1.596942010E-5,1.179199982E1,6.000000000E0,1.600000000E1
1.658366249E1,6.506668954E1,2.549084157E1,1.883209448E1,3.631677246E1,0.000000000E0,NaN,1.596942010E-5,1.072000027E1,6.000000000E0,1.500000000E1
1.757741062E1,6.506668954E1,2.549084157E1,1.882159643E1,3.630627441E1,0.000000000E0,NaN,1.643817690E-5,1.072000027E1,6.000000000E0,1.400000000E1
1.857893947E1,6.506668954E1,2.549084158E1,1.877405005E1,3.625872803E1,0.000000000E0,NaN,1.690693352E-5,1.179199982E1,6.000000000E0,1.400000000E1
1.958712702E1,6.506668954E1,2.549084159E1,1.877301245E1,3.625769043E1,0.000000000E0,NaN,1.690693352E-5,1.179199982E1,6.000000000E0,1.200000000E1
2.057640197E1,6.506668954E1,2.549084159E1,1.878912573E1,3.627380371E1,0.000000000E0,NaN,1.690693352E-5,1.179199982E1,6.000000000E0,1.100000000E1
2.157776556E1,6.506668954E1,2.549084159E1,1.875659399E1,3.624127197E1,0.000000000E0,NaN,1.690693352E-5,1.179199982E1,6.000000000E0,1.200000000E1
2.257842223E1,6.506668954E1,2.549084159E1,1.874286108E1,3.622753906E1,0.000000000E0,NaN,1.737569015E-5,1.286400032E1,6.000000000E0,1.200000000E1
2.357409135E1,6.506668954E1,2.549084158E1,1.874292212E1,3.622760010E1,0.000000000E0,NaN,1.737569015E-5,1.286400032E1,6.000000000E0,1.100000000E1
2.457784030E1,6.506668954E1,2.549084158E1,1.874084692E1,3.622552490E1,0.000000000E0,NaN,1.784444694E-5,1.286400032E1,6.000000000E0,1.000000000E1
2.558017749E1,6.506668954E1,2.549084157E1,1.875476294E1,3.623944092E1,0.000000000E0,NaN,1.784444694E-5,1.286400032E1,6.000000000E0,1.100000000E1
2.657979864E1,6.506668954E1,2.549084157E1,1.878210669E1,3.626678467E1,0.000000000E0,NaN,1.784444694E-5,1.286400032E1,6.000000000E0,1.000000000E1
2.757841166E1,6.506668954E1,2.549084157E1,1.874402075E1,3.622869873E1,0.000000000E0,NaN,1.784444694E-5,1.286400032E1,6.000000000E0,1.100000000E1
2.857880390E1,6.506668954E1,2.549084157E1,1.876373511E1,3.624841309E1,0.000000000E0,NaN,1.784444694E-5,1.179199982E1,6.000000000E0,1.300000000E1
2.957958160E1,6.506668954E1,2.549084157E1,1.877575903E1,3.626043701E1,0.000000000E0,NaN,1.784444694E-5,1.179199982E1,6.000000000E0,1.400000000E1
3.058098504E1,6.506668954E1,2.549084157E1,1.879242163E1,3.627709961E1,0.000000000E0,NaN,1.784444694E-5,1.179199982E1,6.000000000E0,1.400000000E1
3.157922478E1,6.506668954E1,2.549084157E1,1.882074194E1,3.630541992E1,0.000000000E0,NaN,1.784444694E-5,1.179199982E1,6.000000000E0,1.400000000E1
3.257943160E1,6.506668954E1,2.549084157E1,1.882263403E1,3.630731201E1,0.000000000E0,NaN,1.784444694E-5,1.179199982E1,6.000000000E0,1.400000000E1
3.358238285E1,6.506668954E1,2.549084157E1,1.883233862E1,3.631701660E1,0.000000000E0,NaN,1.831320373E-5,1.179199982E1,6.000000000E0,1.300000000E1
3.458206228E1,6.506668954E1,2.549084158E1,1.885412817E1,3.633880615E1,0.000000000E0,NaN,1.831320373E-5,1.072000027E1,6.000000000E0,1.300000000E1
3.557940639E1,6.506668954E1,2.549084158E1,1.888055640E1,3.636523438E1,0.000000000E0,NaN,1.831320373E-5,1.072000027E1,6.000000000E0,1.300000000E1
3.658000499E1,6.506668954E1,2.549084158E1,1.892395239E1,3.640863037E1,0.000000000E0,NaN,1.831320373E-5,1.072000027E1,6.000000000E0,1.500000000E1
3.758104915E1,6.506668954E1,2.549084158E1,1.889923315E1,3.638391113E1,0.000000000E0,NaN,1.942515230E-5,1.072000027E1,6.000000000E0,1.600000000E1
3.857977056E1,6.506668953E1,2.549084158E1,1.884637671E1,3.633105469E1,0.000000000E0,NaN,1.942515230E-5,1.072000027E1,6.000000000E0,1.600000000E1
3.958497712E1,6.506668953E1,2.549084158E1,1.884710913E1,3.633178711E1,0.000000000E0,NaN,1.989390893E-5,1.072000027E1,6.000000000E0,1.600000000E1
4.057442300E1,6.506668953E1,2.549084159E1,1.884155494E1,3.632623291E1,0.000000000E0,NaN,1.989390893E-5,1.072000027E1,6.000000000E0,1.600000000E1
4.157723139E1,6.506668953E1,2.549084159E1,1.884472876E1,3.632940674E1,0.000000000E0,NaN,1.989390893E-5,1.072000027E1,6.000000000E0,1.400000000E1
4.258171488E1,6.506668953E1,2.549084159E1,1.884088355E1,3.632556152E1,0.000000000E0,NaN,1.989390893E-5,1.072000027E1,6.000000000E0,1.500000000E1
4.357659014E1,6.506668953E1,2.549084159E1,1.883301001E1,3.631768799E1,0.000000000E0,NaN,1.989390893E-5,1.072000027E1,6.000000000E0,1.500000000E1
4.458167030E1,6.506668953E1,2.549084159E1,1.883697730E1,3.632165527E1,0.000000000E0,NaN,1.989390893E-5,1.072000027E1,6.000000000E0,1.200000000E1
4.557826832E1,6.506668953E1,2.549084159E1,1.883642798E1,3.632110596E1,0.000000000E0,NaN,1.989390893E-5,1.179199982E1,6.000000000E0,1.200000000E1
4.657942493E1,6.506668953E1,2.549084159E1,8.993593510E0,2.647827148E1,0.000000000E0,NaN,1.989390893E-5,1.179199982E1,6.000000000E0,1.100000000E1
4.758016759E1,6.506668953E1,2.549084159E1,9.809084233E0,2.729376221E1,0.000000000E0,NaN,1.989390893E-5,1.179199982E1,6.000000000E0,1.100000000E1
4.857507915E1,6.506668953E1,2.549084159E1,9.609377201E0,2.709405518E1,0.000000000E0,NaN,1.989390893E-5,1.179199982E1,6.000000000E0,1.000000000E1
4.958063712E1,6.506668953E1,2.549084159E1,9.565553959E0,2.705023193E1,0.000000000E0,NaN,1.989390893E-5,1.179199982E1,6.000000000E0,1.000000000E1
5.057812024E1,6.506668953E1,2.549084159E1,9.394167241E0,2.687884521E1,0.000000000E0,NaN,1.989390893E-5,1.179199982E1,6.000000000E0,9.000000000E0
5.157736660E1,6.506668953E1,2.549084159E1,9.602846440E0,2.708752441E1,0.000000000E0,NaN,2.036266572E-5,1.179199982E1,6.000000000E0,9.000000000E0
5.258636566E1,6.506668953E1,2.549084160E1,9.653566656E0,2.713824463E1,0.000000000E0,NaN,2.036266572E-5,1.179199982E1,6.000000000E0,1.000000000E1
5.358450821E1,6.506668953E1,2.549084160E1,9.883119878E0,2.736779785E1,0.000000000E0,NaN,2.147461587E-5,1.179199982E1,6.000000000E0,9.000000000E0
5.457998743E1,6.506668952E1,2.549084160E1,9.947267831E0,2.743194580E1,0.000000000E0,NaN,2.147461587E-5,1.179199982E1,6.000000000E0,1.000000000E1
5.557787430E1,6.506668952E1,2.549084160E1,9.955751718E0,2.744042969E1,0.000000000E0,NaN,2.194337266E-5,1.179199982E1,6.000000000E0,1.000000000E1
5.657354878E1,6.506668952E1,2.549084161E1,9.664308848E0,2.714898682E1,0.000000000E0,NaN,2.194337266E-5,1.179199982E1,6.000000000E0,1.000000000E1
5.758593946E1,6.506668952E1,2.549084161E1,1.877166969E1,3.625634766E1,0.000000000E0,NaN,2.194337266E-5,1.179199982E1,6.000000000E0,1.100000000E1
5.858525066E1,6.506668952E1,2.549084161E1,1.880517799E1,3.628985596E1,0.000000000E0,NaN,2.194337266E-5,1.179199982E1,6.000000000E0,1.200000000E1
5.958267326E1,6.506668952E1,2.549084161E1,1.878058082E1,3.626525879E1,0.000000000E0,NaN,2.241212946E-5,1.179199982E1,6.000000000E0,1.200000000E1
6.058062357E1,6.506668952E1,2.549084162E1,1.874786598E1,3.623254395E1,0.000000000E0,NaN,3.309921656E-5,1.286400032E1,6.000000000E0,1.200000000E1
6.158217456E1,6.506668961E1,2.549084154E1,8.723268768E0,2.620794678E1,0.000000000E0,NaN,3.776403149E-5,1.179199982E1,6.000000000E0,1.300000000E1
6.258364987E1,6.506668965E1,2.549084151E1,8.876528028E0,2.636120605E1,0.000000000E0,NaN,4.003679599E-5,1.179199982E1,6.000000000E0,1.300000000E1
6.358462430E1,6.506668967E1,2.549084150E1,9.477663273E0,2.696234131E1,0.000000000E0,NaN,4.114874455E-5,1.179199982E1,6.000000000E0,1.400000000E1
6.457799544E1,6.506668968E1,2.549084150E1,9.465456238E0,2.695013428E1,0.000000000E0,NaN,4.235546161E-5,1.179199982E1,6.000000000E0,1.600000000E1
6.558331336E1,6.506668969E1,2.549084151E1,1.881762909E1,3.630230713E1,0.000000000E0,NaN,4.414823209E-5,1.072000027E1,6.000000000E0,1.700000000E1
6.658605940E1,6.506668970E1,2.549084154E1,1.888031219E1,3.636499023E1,0.000000000E0,NaN,4.594100341E-5,1.072000027E1,6.000000000E0,2.000000000E1
6.758141398E1,6.506668971E1,2.549084157E1,1.894195770E1,3.642663574E1,0.000000000E0,NaN,3.642346067E-4,9.648000717E0,6.000000000E0,2.300000000E1
6.858387596E1,6.506668973E1,2.549084836E1,1.888037401E1,3.636505127E1,4.600000083E-1,9.330000305E1,1.780942951E-3,9.648000717E0,6.000000000E0,2.200000000E1
6.957487883E1,6.506669109E1,2.549087841E1,2.035065291E1,3.783532715E1,1.190000057E0,9.240000153E1,3.349915930E-3,9.648000717E0,6.000000000E0,2.200000000E1
7.058525346E1,6.506669978E1,2.549090478E1,2.023004738E1,3.771472168E1,1.090000033E0,7.759999847E1,4.643376123E-3,9.648000717E0,6.000000000E0,2.200000000E1
7.158375247E1,6.506670718E1,2.549092607E1,1.925922199E1,3.674389648E1,7.200000286E-1,7.300000000E1,5.580453874E-3,9.648000717E0,6.000000000E0,2.200000000E1
7.257948180E1,6.506671352E1,2.549093924E1,1.950769536E1,3.699237061E1,3.499999940E-1,6.050000000E1,6.737205813E-3,9.648000717E0,6.000000000E0,2.200000000E1
7.357463638E1,6.506671611E1,2.549096314E1,1.970465767E1,3.718933105E1,1.039999962E0,9.090000153E1,8.257927530E-3,9.648000717E0,6.000000000E0,2.300000000E1
7.457919049E1,6.506671915E1,2.549099477E1,2.007123741E1,3.755590820E1,1.000000000E0,9.659999847E1,9.482181773E-3,9.648000717E0,6.000000000E0,2.200000000E1
7.560008247E1,6.506672133E1,2.549102037E1,2.060847106E1,3.809313965E1,4.799999893E-1,9.890000153E1,1.066977804E-2,9.648000717E0,6.000000000E0,2.300000000E1
7.658268700E1,6.506672794E1,2.549104027E1,2.143891533E1,3.892358398E1,4.499999881E-1,8.190000153E1,1.147519026E-2,9.648000717E0,6.000000000E0,2.300000000E1
7.759007622E1,6.506673193E1,2.549105461E1,2.108356888E1,3.856823730E1,3.300000131E-1,9.019999695E1,1.201885299E-2,9.648000717E0,6.000000000E0,2.300000000E1
7.858175408E1,6.506673527E1,2.549106308E1,2.163886652E1,3.912353516E1,3.899999857E-1,1.273000031E2,1.317910613E-2,9.648000717E0,6.000000000E0,2.300000000E1
7.958348966E1,6.506672497E1,2.549106704E1,1.593226670E1,3.341693115E1,1.039999962E0,1.741000061E2,1.471332216E-2,1.072000027E1,6.000000000E0,2.400000000E1
8.057745872E1,6.506671169E1,2.549105816E1,1.498592037E1,3.247058105E1,4.600000083E-1,1.931000061E2,1.600897649E-2,9.648000717E0,6.000000000E0,2.400000000E1
8.158829236E1,6.506670067E1,2.549104918E1,1.372121383E1,3.120587158E1,5.099999905E-1,1.980000000E2,1.806899457E-2,1.072000027E1,6.000000000E0,2.500000000E1
