"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.101547500E-1,-3.934482932E-1,-6.387083530E-1,9.051342010E-1,1.175592549E0
1.151596330E-1,-3.615137339E-1,-6.053407192E-1,8.572072983E-1,1.109925186E0
1.201950330E-1,-3.456154466E-1,-5.788431168E-1,8.015956879E-1,1.047408725E0
1.252304340E-1,-3.765767217E-1,-5.606398582E-1,7.152853012E-1,9.837480064E-1
1.302963520E-1,-3.860746920E-1,-5.113434792E-1,6.309251785E-1,8.992176613E-1
1.353317520E-1,-3.731840849E-1,-4.979109764E-1,5.819482803E-1,8.519656699E-1
1.403976700E-1,-3.545854986E-1,-4.842128754E-1,5.594825745E-1,8.204960302E-1
1.454330710E-1,-3.788237870E-1,-4.242033958E-1,4.407749176E-1,7.195404857E-1
1.504684710E-1,-4.003073871E-1,-4.547202587E-1,3.164176941E-1,6.834739754E-1
1.555343890E-1,-4.419741035E-1,-4.225873947E-1,2.711277008E-1,6.689031652E-1
1.605697890E-1,-4.388376474E-1,-4.128487110E-1,2.648315430E-1,6.581476165E-1
1.656051900E-1,-4.615229368E-1,-4.524445534E-1,1.715860367E-1,6.686936990E-1
1.706405900E-1,-5.251759291E-1,-4.566030502E-1,1.765851974E-1,7.179682680E-1
1.757065080E-1,-5.523340702E-1,-4.540569782E-1,3.041639328E-1,7.770176077E-1
1.807724260E-1,-6.281988025E-1,-4.243178368E-1,3.723335266E-1,8.445777744E-1
1.858078260E-1,-6.335223913E-1,-4.354827404E-1,2.858963013E-1,8.202027387E-1
1.908737440E-1,-6.633508801E-1,-4.561526775E-1,2.744636536E-1,8.505527335E-1
1.959091450E-1,-7.128601670E-1,-4.116964340E-1,3.565521240E-1,8.971025519E-1
2.009750630E-1,-6.862558722E-1,-3.712699413E-1,3.087902069E-1,8.391304329E-1
2.060104630E-1,-7.207803130E-1,-3.440797329E-1,2.743577957E-1,8.445041873E-1
2.110458630E-1,-7.611007690E-1,-3.179302216E-1,2.550916672E-1,8.633804289E-1
2.161117810E-1,-8.118317127E-1,-3.205795288E-1,2.132110596E-1,8.984992599E-1
2.211166640E-1,-7.302412987E-1,-2.765104771E-1,1.818542480E-1,8.017364690E-1
2.261825820E-1,-6.199677587E-1,-2.614998817E-1,2.236680984E-1,7.090624995E-1
2.312485000E-1,-5.656070709E-1,-1.881368160E-1,1.944007874E-1,6.269756665E-1
2.362839010E-1,-4.718147516E-1,-1.747243404E-1,1.939020157E-1,5.391991716E-1
2.413193010E-1,-3.717690408E-1,-1.519465446E-1,2.448291779E-1,4.703629433E-1
2.463547010E-1,-3.213457465E-1,-1.131019592E-1,2.735881805E-1,4.369274934E-1
2.514206190E-1,-2.347764224E-1,-1.054546833E-1,3.485822678E-1,4.333015764E-1
2.564865370E-1,-1.877792925E-1,-8.628201485E-2,3.261137009E-1,3.860774465E-1
2.615219380E-1,-1.603786796E-1,-3.966021538E-2,2.692155838E-1,3.158659275E-1
2.665573380E-1,-7.673124969E-2,-3.489494324E-3,2.324275970E-1,2.447906230E-1
2.716232560E-1,-4.350781441E-2,-5.656480789E-3,2.434301376E-1,2.473522945E-1
2.766586560E-1,-1.752685010E-2,-2.884531021E-2,2.754383087E-1,2.774986564E-1
2.816940570E-1,4.566219449E-2,1.382422447E-2,2.671031952E-1,2.713305402E-1
2.867599750E-1,8.919949830E-2,2.010822296E-2,3.577117920E-1,3.692135117E-1
2.917953750E-1,1.016155034E-1,3.886222839E-5,3.528976440E-1,3.672362444E-1
2.968307760E-1,6.943418086E-2,1.992964745E-2,3.343057632E-1,3.420214023E-1
3.018966940E-1,1.919473708E-2,3.670954704E-2,2.622117996E-1,2.654638518E-1
3.069320940E-1,9.764432907E-3,7.395744324E-2,3.068065643E-1,3.157456500E-1
3.119980120E-1,-1.853677630E-2,7.482457161E-2,3.014307022E-1,3.111314784E-1
3.170334120E-1,-1.386499405E-2,6.597375870E-2,2.680797577E-1,2.764263580E-1
3.220688130E-1,2.091258764E-3,7.111239433E-2,2.589788437E-1,2.685728718E-1
3.271347310E-1,7.148990035E-2,5.943179131E-2,1.936864853E-1,2.148427291E-1
3.321701310E-1,1.651621163E-1,4.320478439E-2,1.059789658E-1,2.009395910E-1
3.372055310E-1,2.336944044E-1,6.265068054E-2,-2.266025543E-2,2.430054929E-1
3.422409320E-1,2.827362418E-1,5.151891708E-2,-1.257505417E-1,3.136991871E-1
3.473068500E-1,3.245158792E-1,2.224397659E-2,-2.273321152E-1,3.968441015E-1
3.523422500E-1,3.170497119E-1,1.535916328E-2,-2.780580521E-1,4.219866160E-1
3.574081680E-1,2.800583541E-1,3.540468216E-2,-2.858295441E-1,4.017271481E-1
3.624435690E-1,2.467706054E-1,4.414486885E-2,-2.583494186E-1,3.599846153E-1
3.674789690E-1,2.358354479E-1,-5.379199982E-3,-2.055740356E-1,3.129025062E-1
3.725448870E-1,2.703048587E-1,-7.241940498E-2,-1.749849319E-1,3.300439565E-1
3.775802870E-1,3.422790170E-1,-7.206654549E-2,-1.378774643E-1,3.759770041E-1
3.826462050E-1,4.035616815E-1,-9.950637817E-2,-8.966922760E-2,4.252106777E-1
